0x53, 0x51, 0x57, 0x41, 0x50, 0x41, 0x51, 0x48, 0x8b, 0xfc, 0x48, 0x83, 0xe7, 0x0f, 0x48, 0x83, 
0xc7, 0x30, 0x48, 0x2b, 0xe7, 0x48, 0x8b, 0xda, 0x48, 0xc7, 0xc1, 0x98, 0x3a, 0x00, 0x00, 0xff, 
0x93, 0x80, 0x00, 0x00, 0x00, 0xff, 0x93, 0xb0, 0x00, 0x00, 0x00, 0x85, 0xc0, 0x74, 0xe9, 0xcc, 
0x48, 0x8d, 0x8b, 0x00, 0x01, 0x00, 0x00, 0xff, 0x13, 0x48, 0x85, 0xc0, 0x74, 0x53, 0x48, 0x8b, 
0x8b, 0xc0, 0x00, 0x00, 0x00, 0xff, 0x53, 0x30, 0x48, 0x8b, 0x8b, 0xc0, 0x00, 0x00, 0x00, 0xff, 
0x53, 0x40, 0x48, 0xc7, 0x44, 0x24, 0x28, 0x00, 0x00, 0x00, 0x00, 0x48, 0xc7, 0x44, 0x24, 0x20, 
0x04, 0x00, 0x00, 0x00, 0x4c, 0x8b, 0xcb, 0xe8, 0x2d, 0x00, 0x00, 0x00, 0x48, 0x33, 0xd2, 0x48, 
0x33, 0xc9, 0xff, 0x93, 0x90, 0x00, 0x00, 0x00, 0x48, 0x85, 0xc0, 0x74, 0x14, 0x48, 0x8b, 0xc8, 
0xff, 0x53, 0x40, 0x48, 0x8b, 0xc3, 0x48, 0x03, 0xe7, 0x41, 0x59, 0x41, 0x58, 0x5f, 0x59, 0x5b, 
0xc3, 0xff, 0x53, 0x60, 0x8b, 0xc8, 0xff, 0x53, 0x70, 0x48, 0x83, 0xec, 0x08, 0x48, 0x33, 0xc9, 
0xe8, 0x00, 0x00, 0x00, 0x00, 0x48, 0x85, 0xc9, 0x75, 0x07, 0x41, 0x58, 0x48, 0x83, 0xc4, 0x08, 
0xc3, 0xcc, 0x48, 0x81, 0xec, 0x88, 0x00, 0x00, 0x00, 0x48, 0x8b, 0xd9, 0x48, 0xc7, 0xc1, 0x60, 
0xea, 0x00, 0x00, 0xff, 0x93, 0x80, 0x00, 0x00, 0x00, 0x41, 0xb8, 0x00, 0x80, 0x00, 0x00, 0x48, 
0x33, 0xd2, 0x48, 0x8b, 0xcb, 0xff, 0xb3, 0xa0, 0x00, 0x00, 0x00, 0xff, 0x63, 0x50, 0xcc, 0xcc
